eval_budget,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std
1,CrossDataset-LC-DQN,75,0.20458376099730377,0.1839125131356406
2,CrossDataset-LC-DQN,75,0.10787930085878623,0.0904159169004699
3,CrossDataset-LC-DQN,75,0.09168173564220877,0.08374299285471513
4,CrossDataset-LC-DQN,75,0.06890877263005976,0.054788577239592316
5,CrossDataset-LC-DQN,75,0.06094537702528763,0.04840245967812073
6,CrossDataset-LC-DQN,75,0.0571667071468443,0.04969911944441668
7,CrossDataset-LC-DQN,75,0.0520517797356705,0.0485350613350084
8,CrossDataset-LC-DQN,75,0.043094612881654594,0.03362689844834562
9,CrossDataset-LC-DQN,75,0.040409722368708795,0.0316460425199136
10,CrossDataset-LC-DQN,75,0.038826480704789064,0.030395072398057933
