eval_budget,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std
1,Bayesian Optimization,35,0.43725083182900787,0.334743067757605
1,CrossDataset-HyperRL,35,0.24448603620103251,0.2462515877685652
1,CrossDataset-LC-DQN,35,0.20260699003826446,0.21573806678124835
1,Random Search,35,0.43725083182900787,0.334743067757605
2,Bayesian Optimization,35,0.41328715327722404,0.32863223901664956
2,CrossDataset-HyperRL,35,0.1838760101168272,0.202982812927404
2,CrossDataset-LC-DQN,35,0.1694733417727047,0.1690658436506221
2,Random Search,35,0.41328715327722404,0.32863223901664956
3,Bayesian Optimization,35,0.13344751860985837,0.17486185886599148
3,CrossDataset-HyperRL,35,0.1460094749095079,0.17928462338901313
3,CrossDataset-LC-DQN,35,0.12035667074925112,0.16101688491378766
3,Random Search,35,0.13344751860985837,0.17486185886599148
4,Bayesian Optimization,35,0.115488283226444,0.1765983141586314
4,CrossDataset-HyperRL,35,0.12596621113677867,0.1653626205257994
4,CrossDataset-LC-DQN,35,0.10853756701742028,0.15958751069046925
4,Random Search,35,0.12191322902599268,0.1731554111255501
5,Bayesian Optimization,35,0.1106699802726263,0.17485507105169654
5,CrossDataset-HyperRL,35,0.12381276874386839,0.16560167925763716
5,CrossDataset-LC-DQN,35,0.09749153591776526,0.15779310339034036
5,Random Search,35,0.11776319674425942,0.17454198794225104
6,Bayesian Optimization,35,0.09619155041408711,0.1699849720263287
6,CrossDataset-HyperRL,35,0.11546291859685391,0.16393695565335936
6,CrossDataset-LC-DQN,35,0.07296569703530349,0.09489574445609994
6,Random Search,35,0.11571945396120747,0.1715047500832718
7,Bayesian Optimization,35,0.09019426773028968,0.15988103609157306
7,CrossDataset-HyperRL,35,0.10774348635305886,0.1632703070129771
7,CrossDataset-LC-DQN,35,0.07163469243419086,0.09522447943861183
7,Random Search,35,0.11571945396120747,0.1715047500832718
8,Bayesian Optimization,35,0.08427434771413836,0.16065184703215157
8,CrossDataset-HyperRL,35,0.10469076036723224,0.16448685596663823
8,CrossDataset-LC-DQN,35,0.07125998747623731,0.09535443033794085
8,Random Search,35,0.09571997220085725,0.15584870767291034
9,Bayesian Optimization,35,0.08243043594861879,0.16118500640787678
9,CrossDataset-HyperRL,35,0.10402432805881263,0.1631136790030941
9,CrossDataset-LC-DQN,35,0.06718284454283482,0.09423891212519853
9,Random Search,35,0.08259732991004791,0.14840649961646604
10,Bayesian Optimization,35,0.06982775535182302,0.15494817264401112
10,CrossDataset-HyperRL,35,0.10402432805881263,0.1631136790030941
10,CrossDataset-LC-DQN,35,0.06466753322099741,0.08638243690711672
10,Random Search,35,0.0820073613994261,0.14825432535278482
11,Bayesian Optimization,35,0.06453879881354671,0.1499352906172165
11,CrossDataset-HyperRL,35,0.09923619093085471,0.162250989679471
11,CrossDataset-LC-DQN,35,0.06466753322099741,0.08638243690711672
11,Random Search,35,0.07164905546844669,0.14323806409327192
12,Bayesian Optimization,35,0.05622938958138748,0.14601655239377453
12,CrossDataset-HyperRL,35,0.09778202105611614,0.16296644052171622
12,CrossDataset-LC-DQN,35,0.045149804332448105,0.06380242428944574
12,Random Search,35,0.07164905546844669,0.14323806409327192
13,Bayesian Optimization,35,0.05524311797709454,0.14631687132452934
13,CrossDataset-HyperRL,35,0.09778202105611614,0.16296644052171622
13,CrossDataset-LC-DQN,35,0.045149804332448105,0.06380242428944574
13,Random Search,35,0.07164905546844669,0.14323806409327192
14,Bayesian Optimization,35,0.05249791251440538,0.1453902728128504
14,CrossDataset-HyperRL,35,0.09764331111414913,0.16303132521346067
14,CrossDataset-LC-DQN,35,0.04418100313824804,0.06281610683085752
14,Random Search,35,0.07164905546844669,0.14323806409327192
15,Bayesian Optimization,35,0.04521591843849433,0.1419871551615584
15,CrossDataset-HyperRL,35,0.09545672990618341,0.16391898160088614
15,CrossDataset-LC-DQN,35,0.043516594674196225,0.06316596604479112
15,Random Search,35,0.07117873964143896,0.14331251051848018
16,Bayesian Optimization,35,0.04472806763071462,0.1419657416948476
16,CrossDataset-HyperRL,35,0.09545672990618341,0.16391898160088614
16,CrossDataset-LC-DQN,35,0.043516594674196225,0.06316596604479112
16,Random Search,35,0.04443492128266513,0.07045636584538205
17,Bayesian Optimization,35,0.03848779700837551,0.1337355283630208
17,CrossDataset-HyperRL,35,0.09545672990618341,0.16391898160088614
17,CrossDataset-LC-DQN,35,0.043516594674196225,0.06316596604479112
17,Random Search,35,0.04412770390061672,0.07048619551906227
18,Bayesian Optimization,35,0.037450620614279756,0.13385401063006358
18,CrossDataset-HyperRL,35,0.09199667536233457,0.15753672247331588
18,CrossDataset-LC-DQN,35,0.043516594674196225,0.06316596604479112
18,Random Search,35,0.04412770390061672,0.07048619551906227
19,Bayesian Optimization,35,0.02972888225843066,0.1228064854573764
19,CrossDataset-HyperRL,35,0.0911311780681807,0.15774876257472303
19,CrossDataset-LC-DQN,35,0.043281436760692356,0.06312725111230255
19,Random Search,35,0.04396382718217029,0.07053737065730789
20,Bayesian Optimization,35,0.02729764072395913,0.12186079064976325
20,CrossDataset-HyperRL,35,0.09040000435205267,0.1576699292739782
20,CrossDataset-LC-DQN,35,0.043281436760692356,0.06312725111230255
20,Random Search,35,0.04396382718217029,0.07053737065730789
